tradeId,marketId,question,action,entryPrice,size,confidence,expectedReturn,riskScore,timestamp,resolved,actualOutcome,exitPrice,pnl
ENA-USD-1768334236470-S1,ENA-USD,"ENA-USD SHORT @ $0.229",sell,0.22881,0.122,0.7532,1.05,0.24680000000000007,1768334236470,true,true,0.22308975,0.07500000000000012
HYPE-USD-1768334242565-S2,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.146,0.8181999999999999,1.08,0.18180000000000007,1768334242565,true,true,24.4992,0.1600000000000002
SUI-USD-1768334243599-S2,SUI-USD,"SUI-USD SHORT @ $1.773",sell,1.7726,0.122,0.7585999999999999,1.05,0.2414,1768334243599,true,true,1.7282849999999998,0.07500000000000018
ZEC-USD-1768334245158-S2,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.136,0.7976000000000001,1.06,0.20239999999999994,1768334245158,true,true,445.1969,0.09000000000000005
PUMP-USD-1768334246194-S2,PUMP-USD,"PUMP-USD SHORT @ $0.002",sell,0.0021274,0.146,0.8204,1.08,0.17959999999999993,1768334246194,true,true,0.002042304,0.1600000000000004
ENA-USD-1768334248281-S2,ENA-USD,"ENA-USD SHORT @ $0.229",sell,0.22881,0.122,0.7532,1.05,0.24680000000000007,1768334248281,true,true,0.22560499383781507,0.042021845577356
HYPE-USD-1768334352500-S1,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.146,0.8181999999999999,1.08,0.18180000000000007,1768334352500,true,true,24.4992,0.1600000000000002
SUI-USD-1768334353531-S1,SUI-USD,"SUI-USD SHORT @ $1.773",sell,1.7726,0.122,0.7585999999999999,1.05,0.2414,1768334353531,true,,1.7865221352297278,-0.02356222818976845
ZEC-USD-1768334355095-S1,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.136,0.7976000000000001,1.06,0.20239999999999994,1768334355095,true,true,445.1969,0.09000000000000005
PUMP-USD-1768334356128-S1,PUMP-USD,"PUMP-USD SHORT @ $0.002",sell,0.0021274,0.146,0.8204,1.08,0.17959999999999993,1768334356128,true,true,0.002042304,0.1600000000000004
ENA-USD-1768334358216-S1,ENA-USD,"ENA-USD SHORT @ $0.229",sell,0.22881,0.122,0.7532,1.05,0.24680000000000007,1768334358216,true,,0.23224214999999998,-0.04499999999999957
HYPE-USD-1768334364337-S2,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.146,0.8181999999999999,1.08,0.18180000000000007,1768334364337,true,true,24.4992,0.1600000000000002
SUI-USD-1768334365375-S2,SUI-USD,"SUI-USD SHORT @ $1.773",sell,1.7726,0.122,0.7585999999999999,1.05,0.2414,1768334365375,true,true,1.7282849999999998,0.07500000000000018
ZEC-USD-1768334366944-S2,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.136,0.7976000000000001,1.06,0.20239999999999994,1768334366944,true,true,439.92463796477364,0.053406551822688976
PUMP-USD-1768334367984-S2,PUMP-USD,"PUMP-USD SHORT @ $0.002",sell,0.0021274,0.146,0.8204,1.08,0.17959999999999993,1768334367984,true,true,0.002042304,0.1600000000000004
ENA-USD-1768334370086-S2,ENA-USD,"ENA-USD SHORT @ $0.229",sell,0.22881,0.122,0.7532,1.05,0.24680000000000007,1768334370086,true,,0.23224214999999998,-0.04499999999999957
